npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:3000
 HTTP  11/25/2025 2:08:55 PM ::1 GET /pricing.html
 HTTP  11/25/2025 2:08:55 PM ::1 Returned 301 in 312 ms
 HTTP  11/25/2025 2:08:55 PM ::1 GET /pricing
 HTTP  11/25/2025 2:08:55 PM ::1 Returned 200 in 15 ms
 HTTP  11/25/2025 2:08:55 PM ::1 GET /static/style.css
 HTTP  11/25/2025 2:08:55 PM ::1 GET /static/mobile-optimization.css
 HTTP  11/25/2025 2:08:55 PM ::1 GET /static/Design.jpeg
 HTTP  11/25/2025 2:08:55 PM ::1 GET /static/header.js
 HTTP  11/25/2025 2:08:55 PM ::1 Returned 200 in 19 ms
 HTTP  11/25/2025 2:08:55 PM ::1 Returned 200 in 14 ms
 HTTP  11/25/2025 2:08:55 PM ::1 Returned 200 in 21 ms
 HTTP  11/25/2025 2:08:55 PM ::1 Returned 200 in 24 ms
 HTTP  11/25/2025 2:09:06 PM ::1 GET /about.html
 HTTP  11/25/2025 2:09:06 PM ::1 Returned 301 in 0 ms
 HTTP  11/25/2025 2:09:06 PM ::1 GET /about
 HTTP  11/25/2025 2:09:06 PM ::1 Returned 200 in 3 ms
 HTTP  11/25/2025 2:09:06 PM ::1 GET /static/style.css
 HTTP  11/25/2025 2:09:06 PM ::1 GET /static/mobile-optimization.css
 HTTP  11/25/2025 2:09:06 PM ::1 GET /static/script.js
 HTTP  11/25/2025 2:09:06 PM ::1 Returned 304 in 5 ms
 HTTP  11/25/2025 2:09:06 PM ::1 Returned 304 in 5 ms
 HTTP  11/25/2025 2:09:06 PM ::1 GET /static/Design.jpeg
 HTTP  11/25/2025 2:09:06 PM ::1 GET /static/header.js
 HTTP  11/25/2025 2:09:06 PM ::1 Returned 304 in 3 ms
 HTTP  11/25/2025 2:09:06 PM ::1 Returned 304 in 3 ms
 HTTP  11/25/2025 2:09:06 PM ::1 Returned 200 in 10 ms
 HTTP  11/25/2025 2:09:06 PM ::1 GET /static/bs4.mp4
 HTTP  11/25/2025 2:09:06 PM ::1 Returned 206 in 140 ms
 HTTP  11/25/2025 2:09:09 PM ::1 GET /services.html
 HTTP  11/25/2025 2:09:09 PM ::1 Returned 301 in 1 ms
 HTTP  11/25/2025 2:09:09 PM ::1 GET /services
 HTTP  11/25/2025 2:09:09 PM ::1 Returned 200 in 3 ms
 HTTP  11/25/2025 2:09:09 PM ::1 GET /static/style.css
 HTTP  11/25/2025 2:09:09 PM ::1 GET /static/mobile-optimization.css
 HTTP  11/25/2025 2:09:09 PM ::1 GET /static/Design.jpeg
 HTTP  11/25/2025 2:09:09 PM ::1 GET /static/header.js
 HTTP  11/25/2025 2:09:09 PM ::1 Returned 304 in 4 ms
 HTTP  11/25/2025 2:09:09 PM ::1 Returned 304 in 4 ms
 HTTP  11/25/2025 2:09:09 PM ::1 Returned 304 in 2 ms
 HTTP  11/25/2025 2:09:09 PM ::1 Returned 304 in 2 ms
 HTTP  11/25/2025 2:09:09 PM ::1 GET /static/script.js
 HTTP  11/25/2025 2:09:09 PM ::1 Returned 304 in 0 ms
